Symbol,Aliases,Full_Name,Function,Ensembl_Gene_ID
NUTM1,,,cancer-testis antigen,ENSG00000184507
CAGE1,,,cancer-testis antigen,ENSG00000164304
PAGE1,,,cancer-testis antigen,ENSG00000068985
PAGE2,,,cancer-testis antigen,ENSG00000234068
PAGE3,,,cancer-testis antigen,ENSG00000204279
XAGE1A,,,cancer-testis antigen,ENSG00000204379
XAGE3,,,cancer-testis antigen,ENSG00000171402
XAGE5,,,cancer-testis antigen,ENSG00000171405
GAGE2A,,,cancer-testis antigen,ENSG00000189064
GAGE12H,,,cancer-testis antigen,ENSG00000224902
GAGE12J,,,cancer-testis antigen,ENSG00000224659
GAGE12E,,,cancer-testis antigen,ENSG00000216649
GAGE13,,,cancer-testis antigen,ENSG00000274274
MAGEA1,,,cancer-testis antigen,ENSG00000198681
MAGEA2,,,cancer-testis antigen,ENSG00000268606
MAGEA4,,,cancer-testis antigen,ENSG00000147381
MAGEA6,,,cancer-testis antigen,ENSG00000197172
MAGEA3,,,cancer-testis antigen,ENSG00000221867
MAGEA9,,,cancer-testis antigen,ENSG00000123584
MAGEA9B,,,cancer-testis antigen,ENSG00000267978
MAGEA10,,,cancer-testis antigen,ENSG00000124260
MAGEA11,,,cancer-testis antigen,ENSG00000185247
MAGEB1,,,cancer-testis antigen,ENSG00000214107
MAGEB2,,,cancer-testis antigen,ENSG00000099399
MAGEB3,,,cancer-testis antigen,ENSG00000198798
MAGEB5,,,cancer-testis antigen,ENSG00000188408
MAGEB6B,,,cancer-testis antigen,ENSG00000232030
MAGEB16,,,cancer-testis antigen,ENSG00000189023
MAGEB18,,,cancer-testis antigen,ENSG00000176774
MAGEC1,,,cancer-testis antigen,ENSG00000155495
MAGEC2,,,cancer-testis antigen,ENSG00000046774
DAZ1,,,cancer-testis antigen,ENSG00000188120
DAZ3,,,cancer-testis antigen,ENSG00000187191
DAZL,,,cancer-testis antigen,ENSG00000092345
BSPH1,,,cancer-testis antigen,ENSG00000188334
SPAG11A,,,cancer-testis antigen,ENSG00000178287
SPANXA1,,,cancer-testis antigen,ENSG00000198021
